X,Y,Z,Name,Height,Width,Enabled
9883.683,8709.01,1280,Dump 01,10,10,TRUE
9832.706,8351.764,1280,Dump 02,10,10,TRUE
9795.33,7995.367,1280,Dump 03,10,10,TRUE
8966.241,10863.576,1140,Leach,10,10,TRUE
9677.931434,11217.59963,1088.040226,Crusher,10,10,TRUE
9850.245953,11183.97358,1087.814273,Stockpile,10,10,TRUE
9963.591604,11150.60885,1086.996101,Truck Load Area,10,10,TRUE
10055.52082,11239.11836,1084.687796,Conveyor Feed Point,10,10,TRUE
10597.977,13205.064,1025.232,Conveyor Discharge Point,10,10,TRUE
